lat,lon,crime_type,date,severity,source
19.105575,72.877293,robbery,2026-07-22,3,Mumbai Police FIR Dataset 2024
19.045856,72.794579,robbery,2026-06-16,3,NCRB 2024
19.076279,72.87675,theft,2026-08-15,3,Mumbai Police FIR Dataset 2024
19.212772,72.927568,theft,2026-05-31,1,Smart City Crime Reports
19.182229,72.822855,harassment,2026-05-26,5,Mumbai Police FIR Dataset 2024
19.076114,72.878069,theft,2026-07-28,3,Mumbai Police FIR Dataset 2024
19.128967,72.787884,theft,2026-06-22,1,Smart City Crime Reports
19.099304,72.869245,harassment,2026-08-13,5,NCRB 2024
18.922166,72.96081,harassment,2026-07-15,3,Mumbai Police FIR Dataset 2024
19.105162,72.887871,theft,2026-05-30,4,NCRB 2024
19.05449,72.84325,robbery,2026-08-16,3,Mumbai Police FIR Dataset 2024
18.942505,72.958185,assault,2026-05-25,1,NCRB 2024
18.980941,72.88641,robbery,2026-07-11,3,NCRB 2024
19.231656,72.93804,vandalism,2026-06-22,1,Smart City Crime Reports
19.075925,72.87724,assault,2026-07-25,5,Mumbai Police FIR Dataset 2024
19.169133,72.852102,pickpocketing,2026-06-08,3,Smart City Crime Reports
18.922596,72.925599,robbery,2026-06-03,1,NCRB 2024
19.055295,72.782716,assault,2026-06-20,5,Mumbai Police FIR Dataset 2024
19.050189,72.898139,vandalism,2026-08-13,1,NCRB 2024
19.12272,72.804017,theft,2026-08-01,5,NCRB 2024
18.94822,72.835661,theft,2026-08-04,4,Mumbai Police FIR Dataset 2024
18.937536,72.991233,vandalism,2026-05-26,4,Mumbai Police FIR Dataset 2024
18.949725,72.836041,assault,2026-08-14,5,Mumbai Police FIR Dataset 2024
19.053726,72.84243,robbery,2026-07-25,3,Mumbai Police FIR Dataset 2024
19.215395,72.999142,robbery,2026-07-22,3,Smart City Crime Reports
19.112695,72.817273,harassment,2026-08-10,5,NCRB 2024
19.054214,72.843758,theft,2026-07-25,3,Mumbai Police FIR Dataset 2024
19.119348,72.908339,robbery,2026-07-25,4,Mumbai Police FIR Dataset 2024
19.009492,72.968884,robbery,2026-07-14,3,Smart City Crime Reports
19.167173,72.777916,robbery,2026-07-26,2,NCRB 2024
19.026864,72.81411,pickpocketing,2026-06-24,2,Smart City Crime Reports
19.119808,72.909477,theft,2026-08-23,5,Mumbai Police FIR Dataset 2024
19.14064,73.015624,theft,2026-06-01,4,Smart City Crime Reports
19.075845,72.877256,robbery,2026-08-17,3,Mumbai Police FIR Dataset 2024
18.922562,72.792975,robbery,2026-05-31,1,Mumbai Police FIR Dataset 2024
19.115584,72.860706,vandalism,2026-06-14,3,NCRB 2024
18.939745,72.835969,robbery,2026-07-29,3,Mumbai Police FIR Dataset 2024
19.076011,72.876753,assault,2026-08-17,5,Mumbai Police FIR Dataset 2024
19.013357,72.87072,vandalism,2026-07-17,2,Mumbai Police FIR Dataset 2024
19.022519,73.034662,vandalism,2026-07-12,3,Smart City Crime Reports
19.070767,72.913029,harassment,2026-06-26,2,Smart City Crime Reports
19.017706,72.844145,theft,2026-08-04,5,Mumbai Police FIR Dataset 2024
19.070336,72.915675,assault,2026-08-12,1,NCRB 2024
19.23593,72.787874,harassment,2026-06-09,1,NCRB 2024
18.948624,72.836295,assault,2026-08-19,4,Mumbai Police FIR Dataset 2024
18.931423,72.914766,robbery,2026-07-18,4,Mumbai Police FIR Dataset 2024
18.938547,72.768965,pickpocketing,2026-06-25,3,Smart City Crime Reports
18.939734,72.835858,assault,2026-08-02,5,Mumbai Police FIR Dataset 2024
19.039191,73.024029,robbery,2026-07-06,2,NCRB 2024
19.198373,73.040987,robbery,2026-08-14,3,NCRB 2024
19.119131,72.951702,robbery,2026-06-10,3,Mumbai Police FIR Dataset 2024
19.17822,72.834852,vandalism,2026-07-16,5,Smart City Crime Reports
19.076218,72.877042,theft,2026-07-31,3,Mumbai Police FIR Dataset 2024
19.076181,72.876764,theft,2026-08-21,3,Mumbai Police FIR Dataset 2024
19.005791,72.980939,theft,2026-05-26,5,NCRB 2024
19.013246,73.035456,pickpocketing,2026-08-19,3,Mumbai Police FIR Dataset 2024
18.949118,72.834606,theft,2026-07-30,5,Mumbai Police FIR Dataset 2024
19.164791,72.811562,assault,2026-06-14,5,Mumbai Police FIR Dataset 2024
18.896258,73.019851,harassment,2026-07-30,1,Smart City Crime Reports
19.196197,72.879021,robbery,2026-07-25,3,NCRB 2024
18.940799,72.836072,theft,2026-08-21,3,Mumbai Police FIR Dataset 2024
19.054217,72.843897,theft,2026-08-20,5,Mumbai Police FIR Dataset 2024
18.939357,72.8349,theft,2026-07-25,4,Mumbai Police FIR Dataset 2024
19.134861,72.864271,vandalism,2026-06-08,3,NCRB 2024
19.016616,72.845234,assault,2026-08-14,3,Mumbai Police FIR Dataset 2024
18.859915,72.970969,robbery,2026-07-12,2,NCRB 2024
19.184383,72.92256,pickpocketing,2026-08-21,3,Smart City Crime Reports
18.900488,72.950838,assault,2026-06-12,4,Smart City Crime Reports
18.916018,72.890217,vandalism,2026-08-07,5,Mumbai Police FIR Dataset 2024
19.009861,72.794271,theft,2026-05-27,1,NCRB 2024
18.948082,72.834394,theft,2026-08-20,5,Mumbai Police FIR Dataset 2024
18.972649,72.819161,harassment,2026-07-30,1,Smart City Crime Reports
18.94259,72.962087,robbery,2026-05-26,1,Smart City Crime Reports
19.018007,72.844823,assault,2026-07-29,5,Mumbai Police FIR Dataset 2024
18.963736,72.893614,assault,2026-07-11,1,NCRB 2024
18.866093,72.976881,vandalism,2026-06-24,4,NCRB 2024
18.86148,73.005286,robbery,2026-07-31,2,NCRB 2024
19.228824,72.944313,robbery,2026-08-04,3,Smart City Crime Reports
19.017869,72.845259,theft,2026-08-22,4,Mumbai Police FIR Dataset 2024
18.937602,72.80704,pickpocketing,2026-07-22,2,Smart City Crime Reports
19.148069,72.999852,assault,2026-07-18,5,NCRB 2024
18.911196,72.802841,pickpocketing,2026-06-18,3,Smart City Crime Reports
19.120164,72.909932,assault,2026-07-30,3,Mumbai Police FIR Dataset 2024
18.938989,72.835718,robbery,2026-08-12,4,Mumbai Police FIR Dataset 2024
19.237283,73.034703,theft,2026-06-26,2,Smart City Crime Reports
19.018384,72.784095,robbery,2026-08-15,4,NCRB 2024
18.889885,73.023133,pickpocketing,2026-08-22,2,NCRB 2024
19.040792,73.032822,robbery,2026-07-16,4,Smart City Crime Reports
19.093319,72.769705,vandalism,2026-07-19,5,Smart City Crime Reports
19.021445,73.010055,theft,2026-07-31,3,NCRB 2024
19.053933,72.842422,assault,2026-08-02,4,Mumbai Police FIR Dataset 2024
18.939878,72.835847,assault,2026-07-26,5,Mumbai Police FIR Dataset 2024
19.075185,72.876893,robbery,2026-07-27,5,Mumbai Police FIR Dataset 2024
19.017577,72.845411,theft,2026-07-27,3,Mumbai Police FIR Dataset 2024
18.993385,72.879206,vandalism,2026-07-23,4,Smart City Crime Reports
19.119755,72.909513,theft,2026-07-24,5,Mumbai Police FIR Dataset 2024
18.94337,72.829366,vandalism,2026-06-04,2,NCRB 2024
18.883918,72.904636,vandalism,2026-06-03,3,Mumbai Police FIR Dataset 2024
18.888877,73.016178,robbery,2026-08-06,4,NCRB 2024
19.075529,72.876787,assault,2026-08-09,3,Mumbai Police FIR Dataset 2024
19.070506,72.865076,vandalism,2026-06-08,2,Mumbai Police FIR Dataset 2024
19.016201,72.810238,harassment,2026-06-15,5,Smart City Crime Reports
18.893185,72.96372,theft,2026-06-28,1,NCRB 2024
18.874092,73.038033,assault,2026-08-11,2,NCRB 2024
19.118942,72.908749,theft,2026-08-13,5,Mumbai Police FIR Dataset 2024
18.951956,73.036078,robbery,2026-05-28,1,Mumbai Police FIR Dataset 2024
19.016855,72.844217,theft,2026-07-26,4,Mumbai Police FIR Dataset 2024
18.934031,72.824859,harassment,2026-08-10,5,NCRB 2024
19.210678,72.943448,robbery,2026-08-16,3,Mumbai Police FIR Dataset 2024
