latitude,longitude,crime_type,date,severity
19.031601,72.849006,Harassment,2026-04-30,2
19.098138,72.857183,Robbery,2024-09-23,3
19.117065,72.909443,Theft,2025-08-09,1
19.135505,72.903654,Robbery,2025-10-25,3
19.069145,72.870744,Assault,2025-04-22,4
19.060919,72.831892,Assault,2025-04-11,4
19.160734,72.809651,Theft,2025-05-16,1
19.079752,72.879571,Assault,2025-06-05,4
19.11887,72.898641,Robbery,2026-07-05,3
19.007209,72.766945,Theft,2025-09-02,1
19.096495,72.862569,Robbery,2026-07-15,3
19.060537,72.839785,Robbery,2025-08-30,3
19.111881,72.768257,Assault,2024-09-03,4
19.106873,72.805675,Assault,2026-01-16,4
19.078172,72.867768,Harassment,2026-04-12,2
19.128039,72.908036,Robbery,2026-02-05,3
19.133578,72.905836,Assault,2025-08-17,4
19.053404,72.843123,Assault,2025-02-23,4
19.050138,72.854012,Theft,2026-06-10,1
19.068127,72.876819,Assault,2024-09-16,4
19.05597,72.860489,Harassment,2025-05-09,2
19.058354,72.82518,Harassment,2025-08-27,2
19.034337,72.92816,Assault,2025-03-28,4
19.092515,72.880232,Assault,2025-08-19,4
19.047998,72.834041,Robbery,2024-09-29,3
19.072535,72.885543,Harassment,2025-03-23,2
19.001909,72.812759,Assault,2025-05-19,4
19.052796,72.832566,Robbery,2025-02-05,3
19.064223,72.835185,Robbery,2025-04-30,3
19.10021,72.848002,Robbery,2026-07-06,3
19.062915,72.844369,Theft,2026-07-27,1
19.131874,72.888485,Harassment,2024-11-13,2
19.05536,72.852806,Harassment,2025-09-25,2
19.107639,72.863212,Theft,2025-12-31,1
19.082658,72.916711,Assault,2025-11-14,4
19.178161,72.831502,Theft,2025-04-25,1
19.069773,72.882538,Harassment,2025-12-26,2
19.144501,72.850557,Assault,2026-01-07,4
19.051647,72.857386,Harassment,2025-09-13,2
19.07298,72.896334,Robbery,2025-10-30,3
19.071254,72.843622,Robbery,2026-04-13,3
19.136995,72.899691,Robbery,2025-04-28,3
19.101381,72.834514,Theft,2024-09-17,1
